County, 21.3., 22.3., 23.3., 24.3., 25.3., 26.3., 27.3.,28.3.,29.3.,30.3.,31.3.,1.4,2.4.,3.4.,4.4.,5.4,6.4,7.4.,8.4,9.4.,10.4.,11.4,12.4.,13.4, 14.4.,15.4.,16.4.,17.4.,18.4.,19.4.,20.4.,21.4.,22.4.,23.4.,24.4., 25.4., 26.4.,27.4.,28.4,29.4.,30.4.,1.5.,2.5.,3.5.
Bjelovarsko-bilogorska,	0,0,1,2,2,2,3,5,5,5,5,7,7,8,8,9,9,9,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Brodsko-posavska,	1,1,1,2,2,2,3,3,5,4,8,11,11,13,14,15,16,17,18,18,18,18,18,18,18,18,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22
Dubrovačko-neretvanska,	14,14,14,19,21,22,23,28,29,30,32,43,43,55,59,62,63,63,63,65,69,71,86,93,95,96,96,96,96,105,105,105,105,105,105,105,105,105,106,108,108,108,108,108
Grad Zagreb,	85,121,121,177,202,225,268,286,309,332,362,269,279,298,312,331,346,360,370,382,393,400,408,413,418,421,437,439,446,449,450,454,457,457,459,462,462,463,464,464,466,466,466,468
Istarska,	25,26,26,34,37,40,49,60,65,68,68,71,73,73,73,75,75,76,79,80,81,83,83,84,85,86,88,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Karlovačka,	12,12,12,16,18,18,18,18,20,20,20,20,20,21,21,21,21,22,23,23,24,26,28,28,28,28,28,28,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,30
Koprivničko-križevačka,	1,1,1,1,1,1,1,2,3,3,4,12,12,16,16,16,16,19,20,21,23,23,24,25,25,28,28,28,28,32,32,33,49,49,60,60,63,65,68,69,69,69,69,69
Krapinsko-zagorska,	14,18,18,28,33,36,39,39,49,54,59,65,65,69,76,80,80,83,86,92,94,96,99,100,108,112,115,115,118,120,124,126,127,128,130,132,133,133,133,134,134,134,134,134
Ličko-senjska,	1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,7,13,13,14,14,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Međimurska,	0,0,0,1,2,2,2,2,2,2,2,2,2,2,4,4,5,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Osječko-baranjska,	7,7,7,19,25,31,35,39,42,46,57,63,68,71,77,77,77,79,81,81,82,82,82,91,97,99,102,107,107,107,108,109,111,112,113,113,113,114,115,118,119,119,120,123
Požeško-slavonska,	0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Primorsko-goranska,	18,21,21,28,34,35,35,38,38,43,46,60,62,63,65,66,67,68,69,70,73,73,75,77,77,78,79,79,79,80,80,82,82,82,82,82,82,82,82,82,82,82,82,82
Šibensko-kninska,	4,6,6,15,15,15,15,22,23,23,24,27,29,29,29,35,35,42,44,53,58,61,65,67,76,77,78,79,79,79,79,80,80,80,80,81,83,83,83,86,86,86,87,87
Sisačko-moslavačka,	3,4,4,5,5,7,13,13,13,14,15,14,15,19,20,20,20,21,22,22,24,27,27,29,29,30,30,30,30,32,32,34,34,34,34,34,34,34,34,34,34,34,34,34
Splitsko-dalmatinska,	7,7,7,17,23,34,44,61,61,88,96,133,143,154,158,165,181,196,205,246,291,302,323,336,350,365,381,388,392,406,409,418,427,452,454,455,460,464,465,468,479,488,489,490
Varaždinska,	10,11,11,11,11,14,18,19,19,21,21,26,27,27,27,31,33,33,35,35,35,35,35,35,35,35,35,35,35,36,36,36,40,43,49,49,50,50,50,50,50,50,50,50
Virovitičko-podravska,	0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,11
Vukovarsko-srijemska,	0,0,0,0,1,1,2,3,7,11,13,13,13,16,18,21,24,28,29,31,32,33,34,35,36,36,36,36,36,37,37,37,39,39,39,39,39,39,39,40,40,40,40,40
Zadarska,	2,2,2,3,6,6,16,18,18,25,32,36,45,47,48,52,52,56,56,60,63,67,69,69,74,74,76,77,78,78,79,81,81,82,84,84,85,85,85,85,85,85,85,85
Zagrebačka,	2,2,2,3,3,3,3,,,,,82,88,89,92,93,93,95,101,102,107,109,112,112,114,117,121,121,124,124,124,125,125,125,127,127,127,128,129,130,130,130,130,130
Hrvatska,206,254,315,382,442,495,586,657,713,790,867,963,1011,1079,1126,1182,1222,1282,1343,1407,1495,1534,1600,1650,1704,1741,1791,1814,1832,1871,1881,1908,1950,1981,2009,2016,2030,2039,2047,2062,2076,2085,2088,2096
