Pollster,Margin of error,Date,Grabar-Kitarović,Milanović,Škoro,Kolakušić,Pernar,Orešković,Kovač,Simonić,Orepić,Đapić,Karabatić,Juričan (Bandić),Panenić,Peović,Bandić,Esih,Sinčić,Petrov,Vučetić,Jurišić,Mesić,"Mrak-
Taritaš",Others,"Don't know"
IPSOS PULS,3.3,11/25/2019,32.4,21.9,17.3,7.4,3.0,3.1,1.6,,,,2.1,,,,,,,,,,,,3.3,7.9
Promocija plus,2.62,11/20/2019,28.9,26.4,17.6,12.1,2.1,2.3,2.4,,0.8,,,0.6,,,,,,,,,,,1.8,5
2x1 komunikacije,3.0,11/17/2019,27.7,25.1,20.5,9.3,1.2,,,,,1.1,,,,,,,,,,,,,,13.4
Promocija plus,2.77,11/11/2019,28.6,24.3,16.7,14,1.3,2.5,2.6,0.8,0.7,,0.5,0.5,,0.3,,,,,,,,,1,6.1
2x1 komunikacije,3,10/28/2019,27.6,27.1,21,5.9,,,,,,,,,,,,,,,,,,,,13.2
IPSOS PULS,3.3,10/26/2019,34.5,24.9,18.3,5.1,4,2.9,1.7,,,,,,,,,,,,,,,,4.6,4.1
Promocija plus,3,10/20/2019,29.8,25.8,19.1,7.1,1.9,2.6,3,0.6,1,0.6,,,,,,,,,,,,,1.9,6.7
Promocija plus,3,10/7/2019,29.8,25.6,19.1,6.4,1.6,1.9,3.3,0.7,1,,,1.9,,0.6,,,,,,,,,2,6.2
IPSOS PULS,3.3,9/25/2019,34.3,23.9,20.2,6.2,3.7,3.3,2,,,,,,,,,,,,,,,,4.4,2.2
Promocija plus,4,9/21/2019,28.5,24.8,18.2,8.6,2.7,2.6,3.2,,1.3,,,,0.5,0.5,,,,,,,,,1.9,7.1
2x1 komunikacije,4,9/20/2019,29.2,28.5,17.5,4.6,1.3,,4.2,,,,,,,,,,,,,,,,,14.8
Promocija plus,4,9/9/2019,30.2,25.5,19.2,9.3,2,2.3,2.6,,1.5,,,,0.7,0.7,,,,,,,,,1.5,4.6
2x1 komunikacije,2,8/24/2019,25.7,25.9,20.9,7.4,2.5,0.9,1.2,,0.3,,,,,0.1,,,,,,,,,,15.2
IPSOS PULS,3.3,8/23/2019,34.6,24.6,18,6.4,3.9,3.4,,,,,,,,,,,,,,,,,4.4,4.7
Promocija plus,3,8/5/2019,29.3,24.8,18.5,12,3,1.4,,,0.6,,,,0.5,0.9,,,,,,,,,2,7.6
IPSOS PULS,2,7/26/2019,32.8,23.4,19.9,7.1,4.5,,,,,,,,,,,,,,,,,,7.4,4.9
2x1 komunikacije,1,7/15/2019,28.1,23.6,20.9,6.2,2.3,1.1,,,,,,,0.6,0.3,,,,,,,,,,17
Promocija plus,1,7/8/2019,30,22.3,17.8,13.9,2.8,,,,,,,,1.5,2.1,,,,,,,,,2.4,7.2
IPSOS PULS,1,6/28/2019,37.1,31,19.5,6.4,3.1,,,,,,,,,,,,,,,,,,2.8,
2x1 komunikacije,2,6/18/2019,32,22,10.3,10.2,0.7,2.6,,,,,,,,,0.8,,,,,0.2,,,,21.6
Promocija plus,3,6/10/2019,34.5,19.8,13.8,13.1,,,,,,,,,,,,,1.9,3.3,,,,,3.3,10.9
Promocija plus,4,5/21/2019,34.7,18.5,9.4,,,6.7,,,,,,,,,,,6,,,,,4,3.7,9.2
Promocija plus,4,5/9/2019,35.3,15.4,,,,9.9,,,,,,,,,3.5,2.8,7.5,3.2,,,,,3.7,8.4
Promocija plus,3,4/22/2019,35.6,18.3,,4.9,,9.5,,,,,,,,,3.5,3.3,5.2,3.7,,,,,2.1,8.9
Promocija plus,2,4/8/2019,34.5,16.4,,,,10.7,,,,,,,,,4.4,,5.7,4.2,,,3.3,,,5.9
Promocija plus,2,3/22/2019,34.2,19.4,,5.2,,9.2,,,,,,,,,3.9,,6.3,4,,,,,1.9,5.3
Promocija plus,3,3/7/2019,32.6,19.7,,,,12.5,,,,,,,,,4.2,,4.9,4.4,0.9,,,,,
Promocija plus,3,2/7/2019,37,19.6,,,,12.3,,,,,,,,,4.5,3.9,4.5,4.2,1.2,,,,,4.4
Promocija plus,4,1/10/2019,38,17.6,,,,12,,,,,,,,,4.5,4.1,7.9,6.2,1.7,,,,,
Promocija plus,4,12/7/2018,41.1,18.1,,,,11.2,,,,,,,,,4.2,,8.9,5.3,,,,,,
2x1 komunikacije,2,4/25/2018,45.8,20.5,,,,,,,,,,,,,,1.4,15.7,11.7,,,,,,
2x1 komunikacije,1,4/25/2018,46.4,26.5,,,,,,,,,,,,,,,12.2,11.4,,,,,,
Promocija plus,2,2/3/2018,43.5,22,,,,,,,,,,,,,,,11.9,6.6,,,,,5.9,10.1
IPSOS PULS,2,1/18/2018,41,21,,,,,,,,,,,,,,,15,12,,,,,5,6
